,Indicator Name
181,"PPG, other private creditors (NFL, current US$)"
1398,"PPG, other private creditors (NTR, current US$)"
1245,"PPG, other private creditors (TDS, current US$)"
882,"PPG, private creditors (AMT, current US$)"
840,"PPG, private creditors (DIS, current US$)"
643,"PPG, private creditors (DOD, current US$)"
403,"PPG, private creditors (INT, current US$)"
180,"PPG, private creditors (NFL, current US$)"
1397,"PPG, private creditors (NTR, current US$)"
1244,"PPG, private creditors (TDS, current US$)"
747,"PPP conversion factor, GDP (LCU per international $)"
744,"PPP conversion factor, private consumption (LCU per international $)"
916,"Part time employment, female (% of total female employment)"
915,"Part time employment, male (% of total male employment)"
914,"Part time employment, total (% of total employment)"
173,"Patent applications, nonresidents"
172,"Patent applications, residents"
1491,People practicing open defecation (% of population)
1493,"People practicing open defecation, rural (% of rural population)"
1492,"People practicing open defecation, urban (% of urban population)"
76,People using at least basic drinking water services (% of population)
78,"People using at least basic drinking water services, rural (% of rural population)"
77,"People using at least basic drinking water services, urban (% of urban population)"
1507,People using at least basic sanitation services (% of population)
1509,"People using at least basic sanitation services, rural (% of rural population)"
1508,"People using at least basic sanitation services, urban  (% of urban population)"
73,People using safely managed drinking water services (% of population)
75,"People using safely managed drinking water services, rural (% of rural population)"
74,"People using safely managed drinking water services, urban (% of urban population)"
1480,People using safely managed sanitation services (% of population)
1482,"People using safely managed sanitation services, rural (% of rural population)"
1481,"People using safely managed sanitation services, urban  (% of urban population)"
1499,People with basic handwashing facilities including soap and water (% of populartion)
1501,"People with basic handwashing facilities including soap and water, rural (% of rural population)"
1500,"People with basic handwashing facilities including soap and water, urban (% of urban population)"
143,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100)
1590,Permanent cropland (% of land area)
488,"Persistence to grade 5, female (% of cohort)"
487,"Persistence to grade 5, male (% of cohort)"
486,"Persistence to grade 5, total (% of cohort)"
485,"Persistence to last grade of primary, female (% of cohort)"
484,"Persistence to last grade of primary, male (% of cohort)"
483,"Persistence to last grade of primary, total (% of cohort)"
1556,"Personal remittances, paid (current US$)"
1421,"Personal remittances, received (% of GDP)"
1422,"Personal remittances, received (current US$)"
1423,"Personal transfers, receipts (BoP, current US$)"
57,"Physicians (per 1,000 people)"
1044,"Plant species (higher), threatened"
685,Population ages 0-14 (% of total)
690,"Population ages 0-14, female"
689,"Population ages 0-14, female (% of total)"
688,"Population ages 0-14, male"
687,"Population ages 0-14, male (% of total)"
686,"Population ages 0-14, total"
692,"Population ages 0-4, female (% of female population)"
691,"Population ages 0-4, male (% of male population)"
682,"Population ages 10-14, female (% of female population)"
681,"Population ages 10-14, male (% of male population)"
680,"Population ages 15-19, female (% of female population)"
679,"Population ages 15-19, male (% of male population)"
673,Population ages 15-64 (% of total)
678,"Population ages 15-64, female"
677,"Population ages 15-64, female (% of total)"
676,"Population ages 15-64, male"
675,"Population ages 15-64, male (% of total)"
674,"Population ages 15-64, total"
672,"Population ages 20-24, female (% of female population)"
671,"Population ages 20-24, male (% of male population)"
670,"Population ages 25-29, female (% of female population)"
669,"Population ages 25-29, male (% of male population)"
668,"Population ages 30-34, female (% of female population)"
667,"Population ages 30-34, male (% of male population)"
666,"Population ages 35-39, female (% of female population)"
665,"Population ages 35-39, male (% of male population)"
664,"Population ages 40-44, female (% of female population)"
663,"Population ages 40-44, male (% of male population)"
471,"Population ages 45-49, female (% of female population)"
470,"Population ages 45-49, male (% of male population)"
684,"Population ages 5-9, female (% of female population)"
683,"Population ages 5-9, male (% of male population)"
469,"Population ages 50-54, female (% of female population)"
468,"Population ages 50-54, male (% of male population)"
467,"Population ages 55-59, female (% of female population)"
466,"Population ages 55-59, male (% of male population)"
465,"Population ages 60-64, female (% of female population)"
464,"Population ages 60-64, male (% of male population)"
456,Population ages 65 and above (% of total)
461,"Population ages 65 and above, female"
460,"Population ages 65 and above, female (% of total)"
459,"Population ages 65 and above, male"
458,"Population ages 65 and above, male (% of total)"
457,"Population ages 65 and above, total"
463,"Population ages 65-69, female (% of female population)"
462,"Population ages 65-69, male (% of male population)"
455,"Population ages 70-74, female (% of female population)"
454,"Population ages 70-74, male (% of male population)"
453,"Population ages 75-79, female (% of female population)"
452,"Population ages 75-79, male (% of male population)"
451,"Population ages 80 and above, female (% of female population)"
450,"Population ages 80 and above, male (% of male population)"
1042,Population density (people per sq. km of land area)
445,Population growth (annual %)
1037,Population in largest city
1036,Population in the largest city (% of urban population)
1035,Population in urban agglomerations of more than 1 million
1034,Population in urban agglomerations of more than 1 million (% of total population)
1039,Population living in areas where elevation is below 5 meters (% of total population)
1038,Population living in slums (% of urban population)
441,"Population, female"
440,"Population, female (% of total)"
439,"Population, male"
438,"Population, male (% of total)"
442,"Population, total"
1425,"Portfolio equity, net inflows (BoP, current US$)"
389,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)"
1446,"Portfolio investment, net (BoP, current US$)"
1288,Poverty gap at $1.90 a day (2011 PPP) (%)
1285,Poverty gap at $3.20 a day (2011 PPP) (%)
1279,Poverty gap at $5.50 a day (2011 PPP) (%)
1284,Poverty gap at national poverty lines (%)
1289,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)
1286,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)
1280,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)
1283,Poverty headcount ratio at national poverty lines (% of population)
562,Power outages in firms in a typical month (number)
1511,Pregnant women receiving prenatal care (%)
523,"Preprimary education, duration (years)"
0,"Presence of peace keepers (number of troops, police, and military observers in mandate)"
639,Present value of external debt (% of GNI)
640,"Present value of external debt (% of exports of goods, services and primary income)"
641,Present value of external debt (current US$)
71,"Prevalence of HIV, female (% ages 15-24)"
70,"Prevalence of HIV, male (% ages 15-24)"
85,"Prevalence of HIV, total (% of population ages 15-49)"
98,Prevalence of anemia among children (% of children under 5)
97,Prevalence of anemia among non-pregnant women (% of women ages 15-49)
49,Prevalence of anemia among pregnant women (%)
99,Prevalence of anemia among women of reproductive age (% of women ages 15-49)
1486,"Prevalence of overweight, weight for height (% of children under 5)"
1488,"Prevalence of overweight, weight for height, female (% of children under 5)"
1487,"Prevalence of overweight, weight for height, male (% of children under 5)"
1468,"Prevalence of severe wasting, weight for height (% of children under 5)"
1470,"Prevalence of severe wasting, weight for height, female (% of children under 5)"
1469,"Prevalence of severe wasting, weight for height, male (% of children under 5)"
1477,"Prevalence of stunting, height for age (% of children under 5)"
1479,"Prevalence of stunting, height for age, female (% of children under 5)"
1478,"Prevalence of stunting, height for age, male (% of children under 5)"
719,Prevalence of undernourishment (% of population)
1496,"Prevalence of underweight, weight for age (% of children under 5)"
1498,"Prevalence of underweight, weight for age, female (% of children under 5)"
1497,"Prevalence of underweight, weight for age, male (% of children under 5)"
1471,"Prevalence of wasting, weight for height (% of children under 5)"
1473,"Prevalence of wasting, weight for height, female (% of children under 5)"
1472,"Prevalence of wasting, weight for height, male (% of children under 5)"
745,Price level ratio of PPP conversion factor (GDP) to market exchange rate
514,"Primary completion rate, female (% of relevant age group)"
513,"Primary completion rate, male (% of relevant age group)"
512,"Primary completion rate, total (% of relevant age group)"
508,"Primary education, duration (years)"
507,"Primary education, pupils"
506,"Primary education, pupils (% female)"
476,"Primary education, teachers"
475,"Primary education, teachers (% female)"
1426,"Primary income on FDI, payments (current US$)"
1568,"Primary income payments (BoP, current US$)"
1437,"Primary income receipts (BoP, current US$)"
515,Primary school starting age (years)
881,"Principal arrears, long-term DOD (US$)"
880,"Principal arrears, official creditors (current US$)"
879,"Principal arrears, private creditors (current US$)"
878,Principal forgiven (current US$)
1070,"Principal repayments on external debt, long-term (AMT, current US$)"
1071,"Principal repayments on external debt, long-term + IMF (AMT, current US$)"
1069,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)"
1068,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)"
877,Principal rescheduled (current US$)
876,"Principal rescheduled, official (current US$)"
875,"Principal rescheduled, private (current US$)"
566,Private credit bureau coverage (% of adults)
87,"Probability of dying at age 5-14 years (per 1,000 children age 5)"
338,Procedures to build a warehouse (number)
357,Procedures to register property (number)
341,Profit tax (% of commercial profits)
288,Progression to secondary school (%)
290,"Progression to secondary school, female (%)"
289,"Progression to secondary school, male (%)"
1461,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)
1457,Proportion of population pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)
1455,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%)
1316,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)
118,Proportion of seats held by women in national parliaments (%)
109,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)"
108,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)"
107,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49)
1375,Public and publicly guaranteed debt service (% of GNI)
1374,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)"
565,Public credit registry coverage (% of adults)
332,Public private partnerships investment in ICT (current US$)
333,Public private partnerships investment in energy (current US$)
331,Public private partnerships investment in transport (current US$)
330,Public private partnerships investment in water and sanitation (current US$)
1033,Pump price for diesel fuel (US$ per liter)
1032,Pump price for gasoline (US$ per liter)
302,"Pupil-teacher ratio, lower secondary"
522,"Pupil-teacher ratio, preprimary"
505,"Pupil-teacher ratio, primary"
301,"Pupil-teacher ratio, secondary"
260,"Pupil-teacher ratio, tertiary"
300,"Pupil-teacher ratio, upper secondary"
140,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)"
134,Rail lines (total route-km)
136,"Railways, goods transported (million ton-km)"
135,"Railways, passengers carried (million passenger-km)"
924,Ratio of female to male labor force participation rate (%) (modeled ILO estimate)
925,Ratio of female to male labor force participation rate (%) (national estimate)
536,Real effective exchange rate index (2010 = 100)
799,Real interest rate (%)
723,Refugee population by country or territory of asylum
722,Refugee population by country or territory of origin
1227,Renewable electricity output (% of total electricity output)
1224,Renewable energy consumption (% of total final energy consumption)
1020,Renewable internal freshwater resources per capita (cubic meters)
1021,"Renewable internal freshwater resources, total (billion cubic meters)"
482,"Repeaters, primary, female (% of female enrollment)"
481,"Repeaters, primary, male (% of male enrollment)"
480,"Repeaters, primary, total (% of total enrollment)"
784,Research and development expenditure (% of GDP)
444,Researchers in R&D (per million people)
1445,"Reserves and related items (BoP, current US$)"
638,"Residual, debt stock-flow reconciliation (current US$)"
611,"Revenue, excluding grants (% of GDP)"
612,"Revenue, excluding grants (current LCU)"
1515,Risk of catastrophic expenditure for surgical care (% of people at risk)
1514,Risk of impoverishing expenditure for surgical care (% of people at risk)
798,"Risk premium on lending (lending rate minus treasury bill rate, %)"
1579,Rural land area (sq. km)
1588,Rural land area where elevation is below 5 meters (% of total land area)
1589,Rural land area where elevation is below 5 meters (sq. km)
431,Rural population
429,Rural population (% of total population)
430,Rural population growth (annual %)
1041,Rural population living in areas where elevation is below 5 meters (% of total population)
1282,Rural poverty gap at national poverty lines (%)
1281,Rural poverty headcount ratio at national poverty lines (% of rural population)
1420,S&P Global Equity Indices (annual % change)
1055,SF6 gas emissions (thousand metric tons of CO2 equivalent)
521,"School enrollment, preprimary (% gross)"
520,"School enrollment, preprimary, female (% gross)"
519,"School enrollment, preprimary, male (% gross)"
504,"School enrollment, primary (% gross)"
498,"School enrollment, primary (% net)"
527,"School enrollment, primary (gross), gender parity index (GPI)"
526,"School enrollment, primary and secondary (gross), gender parity index (GPI)"
503,"School enrollment, primary, female (% gross)"
497,"School enrollment, primary, female (% net)"
502,"School enrollment, primary, male (% gross)"
496,"School enrollment, primary, male (% net)"
489,"School enrollment, primary, private (% of total primary)"
297,"School enrollment, secondary (% gross)"
294,"School enrollment, secondary (% net)"
525,"School enrollment, secondary (gross), gender parity index (GPI)"
296,"School enrollment, secondary, female (% gross)"
293,"School enrollment, secondary, female (% net)"
295,"School enrollment, secondary, male (% gross)"
292,"School enrollment, secondary, male (% net)"
291,"School enrollment, secondary, private (% of total secondary)"
259,"School enrollment, tertiary (% gross)"
524,"School enrollment, tertiary (gross), gender parity index (GPI)"
258,"School enrollment, tertiary, female (% gross)"
257,"School enrollment, tertiary, male (% gross)"
327,Scientific and technical journal articles
307,"Secondary education, duration (years)"
304,"Secondary education, general pupils"
303,"Secondary education, general pupils (% female)"
306,"Secondary education, pupils"
305,"Secondary education, pupils (% female)"
278,"Secondary education, teachers"
276,"Secondary education, teachers (% female)"
277,"Secondary education, teachers, female"
299,"Secondary education, vocational pupils"
298,"Secondary education, vocational pupils (% female)"
1424,"Secondary income receipts (BoP, current US$)"
1557,"Secondary income, other sectors, payments (BoP, current US$)"
125,Secure Internet servers
124,Secure Internet servers (per 1 million people)
1127,"Self-employed, female (% of female employment) (modeled ILO estimate)"
1126,"Self-employed, male (% of male employment) (modeled ILO estimate)"
1125,"Self-employed, total (% of total employment) (modeled ILO estimate)"
1433,"Service exports (BoP, current US$)"
1564,"Service imports (BoP, current US$)"
1153,"Services, value added (% of GDP)"
1155,"Services, value added (annual % growth)"
1156,"Services, value added (constant 2010 US$)"
1154,"Services, value added (constant LCU)"
1157,"Services, value added (current LCU)"
1158,"Services, value added (current US$)"
1159,"Services, value added per worker (constant 2010 US$)"
449,Sex ratio at birth (male births per female births)
229,"Share of tariff lines with international peaks, all products (%)"
237,"Share of tariff lines with international peaks, manufactured products (%)"
221,"Share of tariff lines with international peaks, primary products (%)"
226,"Share of tariff lines with specific rates, all products (%)"
234,"Share of tariff lines with specific rates, manufactured products (%)"
218,"Share of tariff lines with specific rates, primary products (%)"
896,"Share of youth not in education, employment or training, female (% of female youth population)"
895,"Share of youth not in education, employment or training, male (% of male youth population)"
894,"Share of youth not in education, employment or training, total (% of youth population)"
659,"Short-term debt (% of exports of goods, services and primary income)"
658,Short-term debt (% of total external debt)
660,Short-term debt (% of total reserves)
47,"Smoking prevalence, females (% of adults)"
1516,"Smoking prevalence, males (% of adults)"
48,"Smoking prevalence, total (ages 15+)"
770,Social contributions (% of revenue)
771,Social contributions (current LCU)
142,Source data assessment of statistical capacity (scale 0 - 100)
56,"Specialist surgical workforce (per 100,000 population)"
350,Start-up procedures to register a business (number)
349,"Start-up procedures to register a business, female (number)"
348,"Start-up procedures to register a business, male (number)"
144,Statistical Capacity score (Overall average)
1415,"Stocks traded, total value (% of GDP)"
1416,"Stocks traded, total value (current US$)"
1414,"Stocks traded, turnover ratio of domestic shares (%)"
360,Strength of legal rights index (0=weak to 12=strong)
582,Subsidies and other transfers (% of expense)
583,Subsidies and other transfers (current LCU)
1476,"Suicide mortality rate (per 100,000 population)"
1572,Surface area (sq. km)
1274,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)"
1272,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)"
699,"Survival to age 65, female (% of cohort)"
698,"Survival to age 65, male (% of cohort)"
228,"Tariff rate, applied, simple mean, all products (%)"
236,"Tariff rate, applied, simple mean, manufactured products (%)"
220,"Tariff rate, applied, simple mean, primary products (%)"
225,"Tariff rate, applied, weighted mean, all products (%)"
233,"Tariff rate, applied, weighted mean, manufactured products (%)"
217,"Tariff rate, applied, weighted mean, primary products (%)"
227,"Tariff rate, most favored nation, simple mean, all products (%)"
235,"Tariff rate, most favored nation, simple mean, manufactured products (%)"
219,"Tariff rate, most favored nation, simple mean, primary products (%)"
224,"Tariff rate, most favored nation, weighted mean, all products (%)"
232,"Tariff rate, most favored nation, weighted mean, manufactured products (%)"
216,"Tariff rate, most favored nation, weighted mean, primary products (%)"
342,Tax payments (number)
598,Tax revenue (% of GDP)
599,Tax revenue (current LCU)
754,Taxes less subsidies on products (constant LCU)
755,Taxes less subsidies on products (current LCU)
756,Taxes less subsidies on products (current US$)
609,Taxes on exports (% of tax revenue)
610,Taxes on exports (current LCU)
607,Taxes on goods and services (% of revenue)
606,Taxes on goods and services (% value added of industry and services)
608,Taxes on goods and services (current LCU)
596,"Taxes on income, profits and capital gains (% of revenue)"
595,"Taxes on income, profits and capital gains (% of total taxes)"
597,"Taxes on income, profits and capital gains (current LCU)"
602,Taxes on international trade (% of revenue)
603,Taxes on international trade (current LCU)
1441,"Technical cooperation grants (BoP, current US$)"
443,Technicians in R&D (per million people)
693,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)
750,Terms of trade adjustment (constant LCU)
827,Terrestrial and marine protected areas (% of total territorial area)
1019,Terrestrial protected areas (% of total land area)
256,"Tertiary education, academic staff (% female)"
1160,Textiles and clothing (% of value added in manufacturing)
339,Time required to build a warehouse (days)
359,Time required to enforce a contract (days)
560,Time required to get electricity (days)
379,Time required to obtain an operating license (days)
358,Time required to register property (days)
353,Time required to start a business (days)
352,"Time required to start a business, female (days)"
351,"Time required to start a business, male (days)"
369,Time spent dealing with the requirements of government regulations (% of senior management time)
555,Time to export (days)
554,"Time to export, border compliance (hours)"
553,"Time to export, documentary compliance (hours)"
364,Time to import (days)
363,"Time to import, border compliance (hours)"
362,"Time to import, documentary compliance (hours)"
347,Time to prepare and pay taxes (hours)
361,Time to resolve insolvency (years)
100,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
1243,Total amount of debt rescheduled (current US$)
834,Total change in external debt stocks (current US$)
1381,Total debt service (% of GNI)
1382,"Total debt service (% of exports of goods, services and primary income)"
1029,Total fisheries production (metric tons)
1199,Total greenhouse gas emissions (% change from 1990)
1200,Total greenhouse gas emissions (kt of CO2 equivalent)
973,Total natural resources rents (% of GDP)
817,Total reserves (% of total external debt)
818,"Total reserves (includes gold, current US$)"
816,Total reserves in months of imports
815,Total reserves minus gold (current US$)
340,Total tax rate (% of commercial profits)
1320,Trade (% of GDP)
1570,Trade in services (% of GDP)
170,"Trademark applications, direct nonresident"
169,"Trademark applications, direct resident"
171,"Trademark applications, nonresident, by count"
168,"Trademark applications, resident, by count"
167,"Trademark applications, total"
284,Trained teachers in lower secondary education (% of total teachers)
286,"Trained teachers in lower secondary education, female (% of female teachers)"
285,"Trained teachers in lower secondary education, male (% of male teachers)"
516,Trained teachers in preprimary education (% of total teachers)
518,"Trained teachers in preprimary education, female (% of female teachers)"
517,"Trained teachers in preprimary education, male (% of male teachers)"
477,Trained teachers in primary education (% of total teachers)
479,"Trained teachers in primary education, female (% of female teachers)"
478,"Trained teachers in primary education, male (% of male teachers)"
279,Trained teachers in secondary education (% of total teachers)
287,"Trained teachers in secondary education, female (% of female teachers)"
283,"Trained teachers in secondary education, male (% of male teachers)"
280,Trained teachers in upper secondary education (% of total teachers)
282,"Trained teachers in upper secondary education, female (% of female teachers)"
281,"Trained teachers in upper secondary education, male (% of male teachers)"
9,Transport services (% of commercial service exports)
40,Transport services (% of commercial service imports)
1430,"Transport services (% of service exports, BoP)"
1561,"Transport services (% of service imports, BoP)"
8,Travel services (% of commercial service exports)
39,Travel services (% of commercial service imports)
1429,"Travel services (% of service exports, BoP)"
1560,"Travel services (% of service imports, BoP)"
1466,"Tuberculosis case detection rate (%, all forms)"
1467,Tuberculosis treatment success rate (% of new cases)
1315,UHC service coverage index
1241,"Undisbursed external debt, official creditors (UND, current US$)"
1240,"Undisbursed external debt, private creditors (UND, current US$)"
1242,"Undisbursed external debt, total (UND, current US$)"
903,Unemployment with advanced education (% of total labor force with advanced education)
905,"Unemployment with advanced education, female (% of female labor force with advanced education)"
904,"Unemployment with advanced education, male (% of male labor force with advanced education)"
900,Unemployment with basic education (% of total labor force with basic education)
902,"Unemployment with basic education, female (% of female labor force with basic education)"
901,"Unemployment with basic education, male (% of male labor force with basic education)"
897,Unemployment with intermediate education (% of total labor force with intermediate education)
899,"Unemployment with intermediate education, female (% of female labor force with intermediate education)"
898,"Unemployment with intermediate education, male (% of male labor force with intermediate education)"
892,"Unemployment, female (% of female labor force) (modeled ILO estimate)"
893,"Unemployment, female (% of female labor force) (national estimate)"
890,"Unemployment, male (% of male labor force) (modeled ILO estimate)"
891,"Unemployment, male (% of male labor force) (national estimate)"
888,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
889,"Unemployment, total (% of total labor force) (national estimate)"
910,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)"
911,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)"
908,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)"
909,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)"
906,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)"
907,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)"
425,Unmet need for contraception (% of married women ages 15-49)
1578,Urban land area (sq. km)
1586,Urban land area where elevation is below 5 meters (% of total land area)
1587,Urban land area where elevation is below 5 meters (sq. km)
427,Urban population
426,Urban population (% of total)
428,Urban population growth (annual %)
1040,Urban population living in areas where elevation is below 5 meters (% of total population)
1278,Urban poverty gap at national poverty lines (%)
1277,Urban poverty headcount ratio at national poverty lines (% of urban population)
831,"Use of IMF credit (DOD, current US$)"
54,Use of insecticide-treated bed nets (% of under-5 population)
373,Value lost due to electrical outages (% of sales for affected firms)
716,Vitamin A supplementation coverage rate (% of children ages 6-59 months)
1117,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)"
1116,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
1115,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
1114,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)"
1113,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)"
1112,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
697,Wanted fertility rate (births per woman)
1028,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)"
803,Wholesale price index (2010 = 100)
119,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)"
239,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
102,Women who believe a husband is justified in beating his wife (any of five reasons) (%)
106,Women who believe a husband is justified in beating his wife when she argues with him (%)
105,Women who believe a husband is justified in beating his wife when she burns the food (%)
104,Women who believe a husband is justified in beating his wife when she goes out without telling him (%)
103,Women who believe a husband is justified in beating his wife when she neglects the children (%)
101,Women who believe a husband is justified in beating his wife when she refuses sex with him (%)
695,Women who were first married by age 15 (% of women ages 20-24)
694,Women who were first married by age 18 (% of women ages 20-24)
86,Women's share of population ages 15+ living with HIV (%)
